# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr 24 17:12:35 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN st_teff:        Stellar Effective Temperature [K]
#
pl_name,pl_orbsmax,st_teff
K2-239 c,0.0576000000,3420.00
K2-239 d,0.0685000000,3420.00
K2-24 b,0.1540000000,5625.00
K2-24 c,0.2470000000,5625.00
K2-240 b,0.0513000000,3810.00
K2-240 c,0.1159000000,3810.00
K2-241 b,0.1567000000,5262.00
K2-242 b,0.0494000000,3459.00
K2-243 b,0.1087000000,6570.00
K2-243 c,0.1817000000,6570.00
K2-244 b,0.1418000000,5677.00
K2-245 b,0.0959000000,5793.00
K2-246 b,0.0602000000,5610.00
K2-247 b,0.0304000000,4667.00
K2-247 c,0.0615000000,4667.00
K2-248 b,0.0699000000,5528.00
K2-249 b,0.1151000000,6504.00
K2-25 b,0.0287000000,3207.00
K2-250 b,0.0460600000,5003.00
K2-251 b,0.0694000000,3717.00
K2-252 b,0.1041000000,5152.00
K2-253 b,0.0506000000,6027.00
K2-254 b,0.0448000000,4629.00
K2-254 c,0.0923000000,4629.00
K2-255 b,0.0274000000,4676.00
K2-257 b,0.0216000000,3725.00
K2-258 b,0.1490000000,6351.00
K2-259 b,0.1271000000,6059.00
K2-26 b,0.0962000000,3785.00
K2-260 b,0.0439200000,6860.00
K2-261 b,0.1086000000,5490.00
K2-263 b,0.2573000000,5368.00
K2-264 b,0.0502300000,3660.00
K2-264 c,0.1128300000,3660.00
K2-265 b,0.0335900000,5420.00
K2-266 b,0.0130600000,4285.00
K2-266 c,0.0679000000,4285.00
K2-266 d,0.1035000000,4285.00
K2-266 e,0.1249000000,4285.00
K2-268 b,0.0308000000,5106.00
K2-268 c,0.0819000000,5106.00
K2-268 d,,5106.00
K2-268 e,,5106.00
K2-268 f,,5106.00
K2-269 b,0.0531000000,6209.00
K2-27 b,0.0670200000,5246.00
K2-270 b,0.0247000000,4877.00
K2-270 c,0.0497000000,4877.00
K2-271 b,0.0770000000,5644.00
K2-272 b,0.1007000000,5397.00
K2-273 b,0.0729000000,5161.00
K2-274 b,0.0964000000,5044.00
K2-275 b,0.0277000000,4841.00
K2-275 c,0.0881000000,4841.00
K2-276 b,0.1291000000,5139.00
K2-277 b,0.0664000000,5680.00
K2-278 b,0.0488000000,6747.00
K2-279 b,0.0670000000,5558.00
K2-28 b,0.0214000000,3214.00
K2-280 b,0.1461000000,5500.00
K2-281 b,0.0773000000,4812.00
K2-282 b,0.0499000000,5499.00
K2-283 b,0.0291000000,5060.00
K2-284 b,0.0477100000,4140.00
K2-285 b,0.0381700000,4975.00
K2-285 c,0.0824000000,4975.00
K2-285 d,0.1178000000,4975.00
K2-285 e,0.1804100000,4975.00
K2-286 b,0.1768000000,3926.00
K2-287 b,0.1206000000,5695.00
K2-288 B b,0.1640000000,3341.00
K2-289 b,0.1070000000,5529.00
K2-29 b,0.0421700000,5358.00
K2-290 b,0.0923000000,6302.00
K2-290 c,0.3050000000,6302.00
K2-291 b,0.0326100000,5520.00
K2-292 b,0.1300000000,5725.00
K2-293 b,,5532.00
K2-294 b,,5612.00
K2-295 b,0.0451000000,4444.00
K2-3 b,0.0747000000,3844.00
K2-3 c,0.1357000000,3844.00
K2-3 d,0.2014000000,3844.00
K2-30 b,0.0483900000,5425.00
K2-308 b,,6100.00
K2-31 b,0.0220000000,5280.00
K2-312 c,1.9610000000,5959.00
K2-315 b,,3300.00
K2-316 b,0.0147000000,3436.00
K2-316 c,0.0582000000,3436.00
K2-317 b,0.0542000000,3387.00
K2-318 b,0.0911000000,3851.00
K2-319 b,0.1516000000,5440.00
K2-32 b,0.0795000000,5271.00
K2-32 c,0.1384300000,5271.00
K2-32 d,0.1842200000,5271.00
K2-32 e,0.0489900000,5271.00
K2-320 b,0.0142000000,3157.00
K2-321 b,0.0283900000,3750.00
K2-322 b,0.0594000000,4141.00
K2-323 b,0.1275000000,3710.00
K2-324 b,0.0331000000,3752.00
K2-325 b,0.0419000000,3287.00
K2-326 b,0.0198000000,3924.00
K2-329 b,0.1016000000,5282.00
K2-33 b,0.0409000000,3540.00
K2-330 b,,6232.00
K2-331 b,,5994.00
K2-331 c,,5994.00
K2-332 b,,3315.00
K2-333 b,,5880.00
K2-334 b,,6502.00
K2-335 b,,6222.00
K2-336 b,,5424.00
K2-337 b,,5869.00
K2-338 b,,4558.00
K2-339 b,,4857.00
K2-34 b,0.0442000000,6168.00
K2-340 b,,5532.00
K2-341 b,,5817.00
K2-342 b,,5920.00
K2-343 b,,3804.00
K2-343 c,,3804.00
K2-344 b,,4374.00
K2-345 b,,3779.00
K2-346 b,,4801.00
K2-347 b,,4599.00
K2-348 b,,5077.00
K2-348 c,,5077.00
K2-349 b,,4385.00
K2-35 b,0.0310000000,4402.71
K2-35 c,0.0550000000,4402.71
K2-350 b,,5789.00
K2-350 c,,5789.00
K2-351 b,,5769.00
K2-352 b,,5791.00
K2-352 c,,5791.00
K2-352 d,,5791.00
K2-353 b,,5698.00
K2-354 b,,3669.00
K2-355 b,0.0632000000,5790.00
K2-356 b,0.1599000000,5568.00
K2-357 b,0.1450000000,5794.00
K2-358 b,0.0863000000,5650.00
K2-36 b,0.0228800000,4916.00
K2-36 c,0.0552800000,4916.00
K2-360 c,0.0883000000,5679.00
K2-365 b,,5561.00
K2-366 b,,5601.00
K2-367 b,,4348.00
K2-368 b,,4663.00
K2-368 c,,4663.00
K2-368 d,,4663.00
K2-369 b,,5682.00
K2-37 b,0.0510500000,5352.00
K2-37 c,0.0653400000,5352.00
K2-37 d,0.1102000000,5352.00
K2-370 b,,5377.00
K2-371 b,,4925.00
K2-372 b,,5479.00
K2-373 b,,6138.00
K2-374 b,,5789.00
K2-374 c,,5789.00
K2-375 b,,5822.00
K2-376 b,,5937.00
K2-377 b,,4200.00
K2-378 b,,4823.00
K2-379 b,,4603.00
K2-38 b,0.0499400000,5731.00
K2-38 c,0.0951400000,5731.00
K2-380 b,,5911.00
K2-381 b,,4473.00
K2-381 c,,4473.00
K2-381 d,,4473.00
K2-382 b,,5452.00
K2-383 b,,5129.00
K2-384 b,,3623.00
K2-384 c,,3623.00
K2-384 d,,3623.00
K2-384 e,,3623.00
K2-384 f,,3623.00
K2-385 b,,4844.00
K2-386 b,,5749.00
K2-387 b,,3572.00
K2-388 b,,5310.00
K2-389 b,,5773.00
K2-389 c,,5782.00
K2-39 b,0.0570800000,4881.00
K2-390 b,,5558.00
K2-391 b,,5543.00
K2-392 b,,5726.00
K2-393 b,,5678.00
K2-394 b,,4938.00
K2-395 b,,5007.00
K2-395 c,,5007.00
K2-396 b,,5236.00
K2-396 c,,5236.00
K2-397 b,,5387.00
K2-398 b,,5946.00
K2-398 c,,5946.00
K2-4 b,0.0780000000,4014.73
K2-400 b,,3578.00
K2-401 b,,4213.00
K2-402 b,,5716.00
K2-403 b,,5511.00
K2-404 b,,3748.00
K2-405 b,,4927.00
K2-406 b,,5784.00
K2-407 b,,5563.00
K2-407 c,,5563.00
K2-408 b,,5335.00
K2-409 b,,5742.00
K2-411 b,0.0511000000,5711.00
K2-412 b,0.0586000000,5590.00
K2-413 b,0.0117000000,4116.00
K2-413 c,0.0426000000,4116.00
K2-414 b,0.0487000000,4343.00
K2-414 c,0.0552000000,4343.00
K2-415 b,0.0270000000,3173.00
K2-416 b,0.0880000000,3746.00
K2-417 b,0.0630000000,3861.00
K2-419 A b,0.1208000000,3711.00
K2-42 b,0.0617000000,4613.00
K2-43 b,0.0378400000,3840.60
K2-43 c,,3840.60
K2-44 b,0.0600000000,5912.00
K2-45 b,0.0224000000,4103.00
K2-46 b,0.1382100000,6256.00
K2-47 b,0.1779000000,5054.00
K2-48 b,0.1344000000,4899.00
K2-49 b,0.0309000000,4175.00
K2-5 b,0.0532000000,3930.00
K2-5 c,0.0818000000,3930.00
K2-50 b,0.0705000000,4326.00
K2-52 b,0.0540000000,7147.00
K2-53 b,0.0980000000,5263.00
K2-54 b,0.0761000000,3990.00
K2-55 b,0.0348600000,4300.00
K2-57 b,0.0752000000,4413.00
K2-58 b,0.0692000000,5413.00
K2-58 c,0.0350000000,5413.00
K2-58 d,0.1517000000,5413.00
K2-59 b,0.1354000000,5055.00
K2-59 c,0.0905000000,5055.00
K2-6 b,0.1898000000,5850.00
K2-60 b,0.0450000000,5500.00
K2-61 b,0.0392000000,5748.00
K2-62 b,0.0636000000,4455.00
K2-62 c,0.1148000000,4455.00
K2-63 b,0.1627000000,6771.00
K2-63 c,0.1890000000,6771.00
K2-64 b,0.0619000000,5312.00
K2-65 b,0.1014000000,5213.00
K2-66 b,0.0598300000,5887.00
K2-68 b,0.0708000000,4746.00
K2-69 b,0.0591000000,4127.00
K2-7 b,0.1867000000,5700.00
K2-70 b,0.1112000000,5622.00
K2-71 b,0.0559000000,4006.00
K2-72 b,0.0400000000,3360.47
K2-72 c,0.0780000000,3360.47
K2-72 d,0.0500000000,3360.47
K2-72 e,0.1060000000,3360.47
K2-73 b,0.0761900000,5867.00
K2-73 c,,5867.00
K2-74 b,0.1402000000,6060.00
K2-75 b,0.0810000000,5995.00
K2-75 c,0.1429000000,5995.00
K2-77 b,0.0753000000,5160.00
K2-79 b,0.0987000000,5897.00
K2-8 b,0.0856000000,4870.00
K2-8 c,0.0532000000,4870.00
K2-80 b,0.1350000000,5441.00
K2-80 c,0.0596000000,5441.00
K2-80 d,,5377.00
K2-81 b,0.0590000000,4674.13
K2-83 b,0.0301400000,3910.00
K2-83 c,0.0713100000,3910.00
K2-84 b,0.0665000000,5652.00
K2-84 c,0.1768000000,5652.00
K2-85 b,0.0130000000,4232.00
K2-86 b,0.0770000000,5482.00
K2-87 b,0.0940000000,5747.00
K2-88 b,0.0345000000,3537.00
K2-89 b,0.0146200000,3691.00
K2-9 b,0.0910000000,3390.00
K2-90 b,0.0960000000,4484.00
K2-90 c,0.0350000000,4421.98
K2-91 b,0.0164000000,3622.00
K2-95 b,0.0525000000,3566.00
K2-97 b,0.0854000000,4673.00
K2-98 b,0.0986000000,6260.00
K2-99 b,0.1530000000,6069.00
K2-99 c,1.4300000000,6069.00
KELT-1 b,0.0246600000,6516.00
KELT-10 b,0.0525000000,5948.00
KELT-11 b,0.0623000000,5375.00
KELT-12 b,0.0670800000,6279.00
KELT-14 b,0.0300500000,5720.00
KELT-15 b,0.0461300000,6003.00
KELT-16 b,0.0204400000,6236.00
KELT-17 b,0.0488100000,7454.00
KELT-18 b,0.0455000000,6670.00
KELT-19 A b,0.0637000000,7500.00
KELT-2 A b,0.0549700000,6327.00
KELT-20 b,0.0542000000,8720.00
KELT-21 b,0.0522400000,7598.00
KELT-23 A b,0.0330200000,5899.00
KELT-24 b,0.0665000000,6426.00
KELT-3 b,0.0412300000,6304.00
KELT-4 A b,0.0431700000,6206.00
KELT-6 b,0.0793900000,6102.00
KELT-6 c,2.3900000000,6272.00
KELT-7 b,0.0441500000,6768.00
KELT-8 b,0.0455000000,5754.00
KELT-9 b,0.0346200000,10170.00
KIC 10001893 b,,27500.00
KIC 10001893 c,,27500.00
KIC 10001893 d,,27500.00
KIC 10068024 b,,6118.40
KIC 10525077 b,,6091.00
KIC 3526061 b,5.1400000000,4829.00
KIC 3558849 b,,6175.00
KIC 5437945 b,1.1967100000,6340.00
KIC 5479689 b,,5459.10
KIC 7917485 b,,7067.00
KIC 8121913 b,,5975.30
KIC 8540376 b,,6474.00
KIC 8540376 c,,6474.00
KIC 9663113 b,1.5534600000,6065.00
KMT-2016-BLG-0212L b,2.2000000000,
KMT-2016-BLG-1105L b,2.4400000000,
KMT-2016-BLG-1107L b,0.3420000000,
KMT-2016-BLG-1337L b,3.9700000000,
KMT-2016-BLG-1397L b,5.1000000000,
KMT-2016-BLG-1820L b,1.0800000000,
KMT-2016-BLG-1836L b,3.5000000000,
KMT-2016-BLG-2142L b,0.8300000000,
KMT-2016-BLG-2321L b,3.5800000000,
KMT-2016-BLG-2364L b,2.6300000000,
KMT-2016-BLG-2397L b,3.6400000000,
KMT-2016-BLG-2605L b,0.6810000000,
KMT-2017-BLG-0165L b,3.4500000000,
KMT-2017-BLG-0428L b,1.8100000000,
KMT-2017-BLG-0673L b,2.3400000000,
KMT-2017-BLG-0849L b,2.7300000000,
KMT-2017-BLG-1003L b,1.3800000000,
KMT-2017-BLG-1038L b,1.8000000000,
KMT-2017-BLG-1057L b,2.3600000000,
KMT-2017-BLG-1146L b,1.6000000000,
KMT-2017-BLG-1194L b,1.7800000000,
KMT-2017-BLG-2197L b,15.9100000000,
KMT-2017-BLG-2331L b,2.1400000000,
KMT-2017-BLG-2509L b,2.1400000000,
KMT-2018-BLG-0029L b,4.2700000000,
KMT-2018-BLG-0030L b,4.3900000000,
KMT-2018-BLG-0087L b,0.8700000000,
KMT-2018-BLG-0247L b,2.4600000000,
KMT-2018-BLG-0748L b,0.6200000000,
KMT-2018-BLG-0885L b,1.0700000000,
KMT-2018-BLG-1025L b,1.3050000000,
KMT-2018-BLG-1292L b,6.0300000000,
KMT-2018-BLG-1743L b,1.4490000000,
KMT-2018-BLG-1976L b,3.5400000000,
KMT-2018-BLG-1988L b,3.0900000000,
KMT-2018-BLG-1990L b,0.7630000000,
KMT-2018-BLG-1996L b,4.2700000000,
KMT-2018-BLG-2602L b,3.8100000000,
KMT-2019-BLG-0253L b,3.1000000000,
KMT-2019-BLG-0297L b,0.9600000000,
KMT-2019-BLG-0298L b,5.6700000000,
KMT-2019-BLG-0335L b,1.6400000000,
KMT-2019-BLG-0371L b,0.7900000000,
KMT-2019-BLG-0414L b,1.1600000000,
KMT-2019-BLG-0578L b,2.0000000000,
KMT-2019-BLG-0842L b,3.3100000000,
KMT-2019-BLG-0953L b,1.1000000000,
KMT-2019-BLG-1042L b,1.7000000000,
KMT-2019-BLG-1216L b,2.4400000000,
KMT-2019-BLG-1339L b,2.1500000000,
KMT-2019-BLG-1367L b,1.7000000000,
KMT-2019-BLG-1552L b,2.6000000000,
KMT-2019-BLG-1715L b,3.3200000000,
KMT-2019-BLG-1806L b,3.0200000000,
KMT-2019-BLG-1953L b,,
KMT-2019-BLG-2783L b,1.8500000000,
KMT-2019-BLG-2974L b,2.0000000000,
KMT-2020-BLG-0202L b,4.1700000000,
KMT-2020-BLG-0414L b,2.0700000000,
KMT-2020-BLG-0414L c,22.3000000000,
KMT-2021-BLG-0119L b,2.9200000000,
KMT-2021-BLG-0171L b,3.5000000000,5200.00
KMT-2021-BLG-0192L b,1.6200000000,
KMT-2021-BLG-0240L b,2.8000000000,
KMT-2021-BLG-0320L b,1.5400000000,
KMT-2021-BLG-0322L b,,
KMT-2021-BLG-0712L b,2.2200000000,
KMT-2021-BLG-0736L b,4.0000000000,
KMT-2021-BLG-0748L b,2.4300000000,
KMT-2021-BLG-0852L b,7.7800000000,
KMT-2021-BLG-0909L b,1.7500000000,
KMT-2021-BLG-0912L b,3.1400000000,
KMT-2021-BLG-1077L b,1.2600000000,
KMT-2021-BLG-1077L c,0.9300000000,
KMT-2021-BLG-1105L b,3.5400000000,
KMT-2021-BLG-1150L b,4.5000000000,
KMT-2021-BLG-1253L b,1.5200000000,
KMT-2021-BLG-1303L b,2.8900000000,
KMT-2021-BLG-1372L b,2.3700000000,
KMT-2021-BLG-1391L b,2.2900000000,
KMT-2021-BLG-1547L b,4.5000000000,
KMT-2021-BLG-1554L b,0.7200000000,
KMT-2021-BLG-1689L b,2.5000000000,4570.00
KMT-2021-BLG-1770L b,0.9000000000,
KMT-2021-BLG-1898L b,1.9000000000,
KMT-2021-BLG-2010L b,1.7900000000,
KMT-2021-BLG-2294L b,1.1500000000,
KMT-2021-BLG-2478L b,1.8500000000,
KMT-2021-BLG-2609L b,2.3000000000,
KMT-2022-BLG-0303L b,4.8100000000,
KMT-2022-BLG-0371L b,3.0200000000,
KMT-2022-BLG-0440L b,1.9000000000,
KMT-2022-BLG-1013L b,1.3800000000,
KMT-2022-BLG-1551L b,2.2900000000,
KMT-2022-BLG-1790L b,5.2500000000,
KMT-2022-BLG-1818L b,2.6000000000,
KMT-2022-BLG-1818L c,12.6000000000,
KMT-2022-BLG-2076L b,5.6700000000,
KMT-2022-BLG-2286L b,2.0200000000,
KMT-2023-BLG-0119L b,3.1400000000,
KMT-2023-BLG-0416L b,2.9600000000,
KMT-2023-BLG-0466L b,2.6800000000,
KMT-2023-BLG-0469L b,2.3100000000,
KMT-2023-BLG-0548L b,6.8500000000,
KMT-2023-BLG-0735L b,2.9600000000,
KMT-2023-BLG-0830L b,1.7000000000,
KMT-2023-BLG-0949L b,2.0300000000,
KMT-2023-BLG-1431L b,3.2000000000,
KMT-2023-BLG-1454L b,1.1800000000,
KMT-2023-BLG-1642L b,1.4100000000,
KMT-2023-BLG-1743L b,1.1600000000,
KMT-2023-BLG-1866L b,2.6300000000,
KMT-2023-BLG-1896L b,2.8600000000,
KMT-2023-BLG-2209L b,3.5100000000,
KMT-2024-BLG-0176L b,1.3200000000,
KMT-2024-BLG-0349L b,6.4600000000,
KMT-2024-BLG-0404L b,0.8500000000,
KMT-2024-BLG-0404L c,,
KMT-2024-BLG-1005L b,0.7800000000,
KMT-2024-BLG-1044L b,,
KMT-2024-BLG-1209L b,2.5100000000,
KMT-2024-BLG-1281L b,1.9600000000,
KMT-2024-BLG-1870L b,3.1500000000,
KMT-2024-BLG-2005L b,1.1200000000,
KMT-2024-BLG-2059L b,2.5500000000,
KMT-2024-BLG-2087L b,3.0300000000,
KMT-2024-BLG-2242L b,0.8900000000,
KMT-2025-BLG-0121L b,3.0500000000,
KMT-2025-BLG-0481L b,2.1800000000,
KMT-2025-BLG-1616L b,1.6000000000,
KOBE-1 b,0.0700600000,4135.00
KOBE-1 c,0.1607100000,4135.00
KOI-12 b,0.1540000000,6635.00
KOI-1257 b,0.3820000000,5520.00
KOI-13 b,0.0364100000,7650.00
KOI-134 b,0.3630000000,6160.00
KOI-134 c,0.2305000000,6160.00
KOI-142 b,0.0958600000,5466.00
KOI-142 c,0.1541210030,5466.00
KOI-1599.01,0.1472800000,5833.00
KOI-1599.02,0.1122930000,5833.00
KOI-1783.01,0.5266100000,5922.00
KOI-1783.02,0.8669500000,5922.00
KOI-1831 d,0.1992400000,5233.00
KOI-1833 d,0.0634000000,4413.00
KOI-1843.03,0.0050000000,3584.00
KOI-217 b,0.0477000000,5545.00
KOI-2513.01,0.5000000000,5900.00
KOI-3503 b,0.1424700000,6001.00
KOI-3503 c,0.1868800000,6001.00
KOI-351 b,0.0740000000,6080.00
KOI-351 c,0.0890000000,6080.00
KOI-351 d,0.3200000000,6080.00
KOI-351 e,0.4200000000,6080.00
KOI-351 f,0.4800000000,6080.00
KOI-351 g,0.7170400000,6031.13
KOI-351 h,0.9706200000,6031.13
KOI-3680 b,0.5340000000,5830.00
KOI-4777.01,0.0080000000,3515.00
KOI-4978 b,,5050.28
KOI-55 b,0.0060000000,27730.00
KOI-55 c,0.0076000000,27730.00
KOI-7368 b,0.0678000000,5241.00
KOI-7913 b,0.1456000000,4324.00
KOI-94 b,0.0511900000,6182.00
KOI-94 c,0.1013000000,6182.00
KOI-94 d,0.1684000000,6182.00
KOI-94 e,0.3046000000,6182.00
KOI-984 b,0.0504000000,5295.00
KOI-984 c,0.1467000000,5295.00
KOINTREAU-1 b,690.0000000000,3551.00
KOINTREAU-3 b,342.0000000000,3920.00
KOINTREAU-4 b,182.0000000000,3252.00
KPS-1 b,0.0269000000,5165.00
Kapteyn c,0.3110000000,3550.00
Kepler-10 b,0.0168500000,5708.00
Kepler-10 c,0.2410000000,5708.00
Kepler-10 d,0.5379000000,5708.00
Kepler-100 b,0.0730900000,5837.00
Kepler-100 c,0.1106100000,5825.00
Kepler-100 d,0.2174700000,5825.00
Kepler-100 e,0.3123915860,5884.00
Kepler-1000 b,0.5326000000,6453.00
Kepler-1001 b,0.1114700000,5491.00
Kepler-1001 c,0.0829600000,5376.00
Kepler-1002 b,0.0564000000,6144.00
Kepler-1003 b,0.0433300000,6109.00
Kepler-1004 b,0.0679100000,4972.00
Kepler-1005 b,0.0671700000,5782.00
Kepler-1006 b,0.1464000000,5328.00
Kepler-1007 b,0.0480000000,4587.00
Kepler-1008 b,0.0975500000,5066.00
Kepler-1009 b,0.0796000000,4027.00
Kepler-101 b,0.0474000000,5667.00
Kepler-101 c,0.0684000000,5667.00
Kepler-1010 b,0.1930000000,5253.00
Kepler-1011 b,0.0633000000,5416.00
Kepler-1012 b,0.0606600000,5556.00
Kepler-1013 b,0.1370000000,4954.00
Kepler-1014 b,0.1210000000,5388.00
Kepler-1015 b,0.1345000000,6769.00
Kepler-1016 b,0.0304400000,5821.00
Kepler-1016 c,0.4351900000,5821.00
Kepler-1017 b,0.0719600000,5473.00
Kepler-1018 b,0.2530000000,5518.00
Kepler-1019 b,0.0221000000,4433.00
Kepler-102 b,0.0552100000,4909.00
Kepler-102 c,0.0670200000,4909.00
Kepler-102 d,0.0861800000,4909.00
Kepler-102 e,0.1162000000,4909.00
Kepler-102 f,0.1656000000,4909.00
Kepler-1020 b,0.3759400000,5227.00
Kepler-1021 b,0.1034000000,5431.00
Kepler-1022 b,0.0805000000,4445.00
Kepler-1023 b,0.3028400000,5494.00
Kepler-1024 b,0.3033000000,5143.00
Kepler-1025 b,0.2160700000,6089.00
Kepler-1026 b,0.1977000000,4948.00
Kepler-1027 b,0.0291100000,5436.00
Kepler-1028 b,0.0354000000,5522.00
Kepler-1029 b,0.0470000000,5030.00
Kepler-103 b,0.1330000000,6047.00
Kepler-103 c,0.6679000000,6047.00
Kepler-1030 b,0.1338000000,4983.00
Kepler-1031 b,0.0218000000,6011.00
Kepler-1032 b,0.0361000000,4647.00
Kepler-1033 b,0.0761000000,5547.00
Kepler-1034 b,0.0965000000,5198.00
Kepler-1035 b,0.0388300000,5763.00
Kepler-1036 b,0.4772600000,5533.00
Kepler-1037 b,0.0198000000,5105.00
Kepler-1038 b,0.5238000000,5335.00
Kepler-1038 c,0.0692000000,5159.00
Kepler-1039 b,0.0171400000,4870.00
Kepler-104 b,0.0940000000,5711.00
Kepler-104 c,0.1530000000,5711.00
Kepler-104 d,0.2570000000,5711.00
Kepler-1040 b,0.6724900000,5694.00
Kepler-1041 b,0.1688000000,5957.00
Kepler-1042 b,0.0756000000,4815.00
Kepler-1043 b,0.2159000000,5629.00
Kepler-1044 b,0.0741000000,5985.00
Kepler-1045 b,0.1616000000,5301.00
Kepler-1046 b,0.1185800000,5913.00
Kepler-1047 b,0.2987100000,5754.00
Kepler-1047 c,0.0441300000,5754.00
Kepler-1048 b,0.0590000000,4651.00
Kepler-1049 b,0.0349000000,3864.00
Kepler-105 b,0.0601600000,5933.00
Kepler-105 c,0.0722900000,5933.00
Kepler-1050 b,0.1235300000,6010.00
Kepler-1050 c,0.1526400000,6010.00
Kepler-1051 b,0.1839500000,6675.00
Kepler-1052 b,0.2098800000,5888.00
Kepler-1052 c,0.6135000000,5818.00
Kepler-1053 b,0.0315000000,4529.00
Kepler-1054 b,0.0554200000,6209.00
Kepler-1055 b,0.0335000000,5723.00
Kepler-1056 b,0.1629000000,6127.00
Kepler-1057 b,0.1138000000,5987.00
Kepler-1058 b,0.3679000000,4644.00
Kepler-1059 b,0.0440000000,4906.00
Kepler-106 b,0.0649100000,5858.00
Kepler-106 c,0.1098700000,5858.00
Kepler-106 d,0.1606300000,5858.00
Kepler-106 e,0.2400600000,5858.00
Kepler-1060 b,0.2495000000,5797.00
Kepler-1061 b,0.0388000000,6067.00
Kepler-1062 b,0.0748000000,4597.00
Kepler-1063 b,0.1176000000,5945.00
Kepler-1064 b,0.1183000000,5153.00
Kepler-1065 b,0.0455000000,5635.00
Kepler-1065 c,0.0344000000,5635.00
Kepler-1066 b,0.0298000000,5762.00
Kepler-1067 b,0.0164000000,5592.00
Kepler-1067 c,0.0606900000,5594.00
Kepler-1068 b,0.1303800000,5806.00
Kepler-1069 b,0.1658700000,5722.00
Kepler-107 b,0.0454400000,5854.00
Kepler-107 c,0.0606400000,5854.00
Kepler-107 d,0.0837700000,5854.00
Kepler-107 e,0.1263800000,5854.00
Kepler-1070 b,0.0675300000,6261.00
Kepler-1071 b,0.0629000000,5215.00
Kepler-1072 b,0.0274200000,6199.00
Kepler-1073 b,0.0805000000,5792.00
Kepler-1073 c,0.0483000000,5792.00
Kepler-1073 d,0.0352000000,5509.00
Kepler-1074 b,0.0536000000,4002.00
Kepler-1075 b,0.0208000000,3959.00
Kepler-1076 b,0.0611000000,4868.00
Kepler-1077 b,0.2101000000,5816.00
Kepler-1078 b,0.0388000000,5612.00
Kepler-1079 b,0.1092000000,5758.00
Kepler-108 b,0.2920000000,5854.00
Kepler-108 c,0.7210000000,5854.00
Kepler-1080 b,0.3781000000,5956.00
Kepler-1081 b,0.0466200000,5345.00
Kepler-1082 b,0.0257100000,5923.00
Kepler-1083 b,0.1899000000,5049.00
Kepler-1084 b,0.0324000000,6113.00
Kepler-1085 b,0.7336100000,6000.00
Kepler-1085 c,0.2979800000,5816.00
Kepler-1086 b,0.1198000000,4350.00
Kepler-1086 c,0.5030000000,4350.00
Kepler-1087 b,0.0155400000,5589.00
Kepler-1088 b,0.1616300000,5975.00
Kepler-1089 b,0.0497000000,3753.00
Kepler-109 b,0.0701000000,5950.00
Kepler-109 c,0.1546000000,5950.00
Kepler-1090 b,0.6332300000,5321.00
Kepler-1090 c,0.2262200000,5330.00
Kepler-1091 b,0.0252000000,5851.00
Kepler-1092 b,0.2996000000,5862.00
Kepler-1093 b,0.1754300000,6166.00
Kepler-1093 c,0.4103700000,6166.00
Kepler-1094 b,0.3625000000,6112.00
Kepler-1095 b,0.0514000000,5658.00
Kepler-1096 b,0.0340000000,4306.00
Kepler-1097 b,0.5791000000,5211.00
Kepler-1098 b,0.0358000000,5794.00
Kepler-1099 b,0.0337000000,5837.00
Kepler-11 b,0.0910000000,5663.00
Kepler-11 c,0.1070000000,5663.00
Kepler-11 d,0.1550000000,5663.00
Kepler-11 e,0.1950000000,5663.00
Kepler-11 f,0.2500000000,5663.00
Kepler-11 g,0.4660000000,5663.00
Kepler-110 b,0.1070000000,5960.00
Kepler-110 c,0.1980000000,5960.00
Kepler-1100 b,0.0674500000,6247.00
Kepler-1101 b,0.3483000000,5614.00
Kepler-1102 b,0.2731000000,5724.00
Kepler-1103 b,0.1533600000,6092.00
Kepler-1104 b,0.0632100000,6417.00
Kepler-1105 b,0.0471000000,4299.00
Kepler-1106 b,0.0239000000,6104.00
Kepler-1107 b,0.0128500000,5268.00
Kepler-1108 b,0.0511000000,5406.00
Kepler-1109 b,0.2466000000,5893.00
Kepler-111 b,0.0460000000,5952.00
Kepler-111 c,0.7510000000,5914.00
Kepler-1110 b,0.0754000000,4781.00
Kepler-1111 b,0.0872000000,6077.00
Kepler-1112 b,0.1239000000,6496.00
Kepler-1113 b,0.2415000000,5931.00
Kepler-1114 b,0.1105600000,5374.00
Kepler-1115 b,0.2134000000,8480.00
Kepler-1116 b,0.2330000000,5641.00
Kepler-1117 b,0.0548500000,5612.00
Kepler-1118 b,0.2079000000,5688.00
Kepler-1119 b,0.0812000000,6083.00
Kepler-112 b,0.0760000000,5544.00
Kepler-112 c,0.1720000000,5544.00
Kepler-1120 b,0.0369000000,4904.00
Kepler-1121 b,0.1181800000,6231.00
Kepler-1122 b,0.2315000000,5544.00
Kepler-1123 b,0.0497000000,5500.00
Kepler-1124 b,0.0305000000,3658.00
Kepler-1125 b,0.1348000000,5683.00
Kepler-1126 b,0.4125100000,5798.00
Kepler-1126 c,0.6193000000,5678.00
Kepler-1127 b,0.0556000000,5664.00
Kepler-1128 b,0.3020000000,5543.00
